Account Name,,Date,Shipped Weight,Net Sales
BULLOCH FABRICATING,,2/1/24,4,"$14,132 "
BULLOCH FABRICATING,,2/1/24,14.2,"$50,897 "
BULLOCH FABRICATING,,2/1/24,1.3,"$4,638 "
BULLOCH FABRICATING,,3/1/24,-2.1,"($7,364)"
BULLOCH FABRICATING,,3/1/24,-0.3,($928)
BULLOCH FABRICATING,,3/1/24,0.8,"$3,019 "
BULLOCH FABRICATING,,3/1/24,1.2,"$4,110 "
BULLOCH FABRICATING,,3/1/24,0,($329)
BULLOCH FABRICATING,,5/1/24,2.2,"$7,406 "
BULLOCH FABRICATING,,5/1/24,6.7,"$37,530 "
BULLOCH FABRICATING,,6/1/24,5.1,"$18,390 "
BULLOCH FABRICATING,,7/1/24,0.2,$876 
BULLOCH FABRICATING,,8/1/24,-0.2,($876)
BULLOCH FABRICATING,,8/1/24,0.2,"$1,028 "
BULLOCH FABRICATING,,8/1/24,0,$275 
BULLOCH FABRICATING,,10/1/24,0.1,$574 
BULLOCH FABRICATING,,1/1/25,0.3,"$1,125 "
BULLOCH FABRICATING,,11/1/23,0,$149 
BULLOCH FABRICATING,,1/1/24,0,$121 
BULLOCH FABRICATING,,2/1/24,0.1,$376 
BULLOCH FABRICATING,,10/1/23,0.1,$842 
BULLOCH FABRICATING,,2/1/24,0.2,"$2,156 "
BULLOCH FABRICATING,,5/1/24,0.4,"$2,315 "
BULLOCH FABRICATING,,9/1/24,0.4,"$6,453 "
BULLOCH FABRICATING,,10/1/24,-0.2,"($3,723)"
BULLOCH FABRICATING,,6/1/23,22.8,"$28,312 "
BULLOCH FABRICATING,,6/1/23,5.8,"$6,865 "
BULLOCH FABRICATING,,7/1/23,4.1,"$4,848 "
BULLOCH FABRICATING,,7/1/23,12.4,"$14,276 "
BULLOCH FABRICATING,,8/1/23,5.4,"$5,514 "
BULLOCH FABRICATING,,9/1/23,7.9,"$7,964 "
BULLOCH FABRICATING,,9/1/23,0.3,$371 
BULLOCH FABRICATING,,10/1/23,3,"$2,853 "
BULLOCH FABRICATING,,11/1/23,5.4,"$5,452 "
BULLOCH FABRICATING,,1/1/24,1.9,"$2,470 "
BULLOCH FABRICATING,,2/1/24,0.2,$210 
BULLOCH FABRICATING,,3/1/24,6.1,"$5,572 "
BULLOCH FABRICATING,,5/1/24,29.8,"$27,083 "
BULLOCH FABRICATING,,6/1/24,18.4,"$17,152 "
BULLOCH FABRICATING,,7/1/24,6.7,"$5,764 "
BULLOCH FABRICATING,,7/1/24,2.7,"$2,497 "
BULLOCH FABRICATING,,8/1/24,3.8,"$3,294 "
BULLOCH FABRICATING,,9/1/24,6.8,"$5,797 "
BULLOCH FABRICATING,,10/1/24,9.1,"$7,678 "
