account_name,date,shipped_weight,net_sales
AB Steel,2023-01-01,10284.55,17321.57
AB Steel,2023-02-01,10719.97,12028.22
AB Steel,2023-03-01,10588.42,10952.54
AB Steel,2023-04-01,11002.56,13849.8
AB Steel,2023-05-01,10948.31,14361.01
AB Steel,2023-06-01,10719.66,16580.2
AB Steel,2023-07-01,10253.11,20194.36
AB Steel,2023-08-01,10950.84,21239.15
AB Steel,2023-09-01,10963.72,17518.93
AB Steel,2023-10-01,10990.52,11963.1
AB Steel,2023-12-01,10110.93,10568.22
AB Steel,2024-01-01,10260.28,14248.22
AB Steel,2024-02-01,10329.75,18890.39
AB Steel,2024-04-01,10508.22,13460.34
AB Steel,2024-05-01,10564.38,12053.16
AB Steel,2024-06-01,10770.34,11573.27
Beta Metals,2023-01-01,19958.42,24011.21
Beta Metals,2023-03-01,20423.26,32654.05
Beta Metals,2023-04-01,20147.6,37886.92
Beta Metals,2023-05-01,19886.63,25765.79
Beta Metals,2023-06-01,19285.33,28089.75
Beta Metals,2023-07-01,19223.08,27229.68
Beta Metals,2023-08-01,20404.35,27022.4
Beta Metals,2023-09-01,19390.2,26298.88
Beta Metals,2023-10-01,20128.86,25606.58
Beta Metals,2023-11-01,20184.62,20195.12
Beta Metals,2023-12-01,19478.0,25414.53
Beta Metals,2024-01-01,19633.28,30119.2
Beta Metals,2024-02-01,19846.86,33589.55
Beta Metals,2024-04-01,19557.7,24332.24
Beta Metals,2024-05-01,19664.27,23966.11
Beta Metals,2024-06-01,20018.96,28103.34
Calico Corp,2023-01-01,5748.73,9457.66
Calico Corp,2023-02-01,5584.75,9443.47
Calico Corp,2023-03-01,5814.82,11261.74
Calico Corp,2023-04-01,5638.23,7561.24
Calico Corp,2023-05-01,5583.01,10745.59
Calico Corp,2023-06-01,6371.33,8014.76
Calico Corp,2023-07-01,6128.58,11137.0
Calico Corp,2023-08-01,6014.17,9199.57
Calico Corp,2023-09-01,5800.87,6340.94
Calico Corp,2023-10-01,6434.26,12227.79
Calico Corp,2023-11-01,5957.22,7976.9
Calico Corp,2023-12-01,5911.02,10202.16
Calico Corp,2024-02-01,6444.07,12160.52
Calico Corp,2024-03-01,6240.46,10247.03
Calico Corp,2024-04-01,5516.36,6407.96
Calico Corp,2024-05-01,6415.41,10305.91
Calico Corp,2024-06-01,5445.6,5998.17
Delta Fabrication,2023-01-01,15393.53,21091.58
Delta Fabrication,2023-02-01,14286.03,27548.02
Delta Fabrication,2023-03-01,15037.61,29573.8
Delta Fabrication,2023-04-01,15614.28,28933.41
Delta Fabrication,2023-05-01,14856.8,20578.12
Delta Fabrication,2023-06-01,15160.94,19965.78
Delta Fabrication,2023-07-01,14509.7,22588.72
Delta Fabrication,2023-08-01,15219.65,25812.99
Delta Fabrication,2023-09-01,15137.72,16608.75
Delta Fabrication,2023-11-01,15131.01,30111.52
Delta Fabrication,2023-12-01,14733.24,22369.92
Delta Fabrication,2024-01-01,15200.17,26459.97
Delta Fabrication,2024-02-01,15171.35,25828.99
Delta Fabrication,2024-03-01,14607.19,18895.74
Delta Fabrication,2024-04-01,15146.49,27416.86
Delta Fabrication,2024-05-01,15450.98,29561.45
Delta Fabrication,2024-06-01,14928.04,22414.7
Echo Alloys,2023-01-01,16661.71,32701.09
Echo Alloys,2023-02-01,17420.98,29545.53
Echo Alloys,2023-03-01,16829.87,19746.39
Echo Alloys,2023-04-01,16759.7,20953.69
Echo Alloys,2023-05-01,16892.47,28963.76
Echo Alloys,2023-06-01,17094.43,21879.74
Echo Alloys,2023-07-01,17346.91,30147.13
Echo Alloys,2023-08-01,17042.68,27468.04
Echo Alloys,2023-10-01,16577.07,20683.72
Echo Alloys,2023-11-01,16946.89,29790.02
Echo Alloys,2023-12-01,16215.07,18097.2
Echo Alloys,2024-01-01,16440.32,17109.92
Echo Alloys,2024-02-01,17514.73,29839.11
Echo Alloys,2024-03-01,16959.51,18618.73
Echo Alloys,2024-04-01,16783.1,24729.43
Echo Alloys,2024-05-01,16526.21,23696.13
Echo Alloys,2024-06-01,16988.29,27450.53
Fusion Steelworks,2023-01-01,15050.24,19292.22
Fusion Steelworks,2023-02-01,13935.99,23645.71
Fusion Steelworks,2023-03-01,14824.31,27832.23
Fusion Steelworks,2023-04-01,14762.96,26624.72
Fusion Steelworks,2023-05-01,14165.86,16679.45
Fusion Steelworks,2023-06-01,14844.15,26820.92
Fusion Steelworks,2023-07-01,15045.83,21254.0
Fusion Steelworks,2023-09-01,14408.56,25595.56
Fusion Steelworks,2023-10-01,14311.24,27631.52
Fusion Steelworks,2023-11-01,14901.31,21293.88
Fusion Steelworks,2023-12-01,14873.46,26096.12
Fusion Steelworks,2024-01-01,14359.92,27320.51
Fusion Steelworks,2024-02-01,14351.85,26213.04
Fusion Steelworks,2024-03-01,14656.31,27781.37
Fusion Steelworks,2024-04-01,14132.04,14285.2
Fusion Steelworks,2024-05-01,14909.74,16270.8
Fusion Steelworks,2024-06-01,14431.18,28141.69
Granite Metals,2023-01-01,19481.89,24092.96
Granite Metals,2023-02-01,20069.78,31948.85
Granite Metals,2023-03-01,18915.58,32311.23
Granite Metals,2023-04-01,19006.93,26191.32
Granite Metals,2023-05-01,19687.23,24583.92
Granite Metals,2023-06-01,19241.83,27601.47
Granite Metals,2023-07-01,19132.99,26885.72
Granite Metals,2023-08-01,19451.59,33864.72
Granite Metals,2023-09-01,19523.94,35588.06
Granite Metals,2023-10-01,19330.52,32495.36
