account_name,month,tons,net_sales,avg6m_tons,avg6m_sales,gap_days,median_gap,alert_tier,growth_tier,tier_label,buyer_type
MOTOR CONTROLS INC,2025-06-01,79.7,101107.0,164.1,258857.66666666666,31.0,31.0,Black,,Black,regular
IMPERIAL GROUP MANUFACTURING I ATTN: ACCOUNTS PAYABLE,2024-03-01,73.8,566179.0,181.41666666666666,1160920.5,29.0,31.0,Black,,Black,regular
IMPERIAL GROUP MANUFACTURING I ATTN: ACCOUNTS PAYABLE,2024-04-01,68.8,431169.0,137.3166666666667,891398.3333333334,31.0,31.0,Black,,Black,regular
"TONGRUN INTERNATIONAL, LLC",2024-08-01,61.0,65023.0,106.25,144563.33333333334,31.0,31.0,Black,,Black,regular
"TONGRUN INTERNATIONAL, LLC",2024-06-01,58.099999999999994,78867.0,125.69999999999999,180355.83333333334,31.0,31.0,Black,,Black,regular
LONGHORN FABRICATION & DESIGN,2024-07-01,50.5,56335.0,98.53333333333332,129782.16666666667,30.0,31.0,Black,,Black,regular
NORSTAR INDUSTRIES LLC,2024-06-01,40.7,63657.0,89.76666666666667,108373.5,31.0,31.0,Black,,Black,regular
PACKLESS INDUSTRIES ATTN ACCOUNTS PAYABLE,2024-12-01,40.5,55412.0,78.98333333333333,118619.5,30.0,31.0,Black,,Black,regular
LONGHORN FABRICATION & DESIGN,2025-06-01,40.1,80961.0,80.66666666666667,105773.83333333333,31.0,31.0,Black,,Black,regular
LONGHORN FABRICATION & DESIGN,2025-03-01,40.0,64149.0,86.61666666666667,103912.0,28.0,31.0,Black,,Black,regular
"TONGRUN INTERNATIONAL, LLC",2024-09-01,39.2,48699.0,87.48333333333333,114058.66666666667,31.0,31.0,Black,,Black,regular
THRAILKILL ALL METALS FABRICAT DBA ALL METAL FABRICATING INC,2024-11-01,35.9,30680.0,64.7,73444.0,31.0,31.0,Black,,Black,regular
PETERBILT MOTORS,2023-12-01,34.6,83149.0,69.16666666666667,168810.66666666666,30.0,31.0,Black,,Black,regular
R-5 METAL FABRICATORS,2025-03-01,33.7,59207.0,68.41666666666667,70977.33333333333,28.0,31.0,Black,,Black,regular
PACKLESS INDUSTRIES ATTN ACCOUNTS PAYABLE,2024-08-01,33.5,57738.0,89.61666666666667,150699.66666666666,31.0,31.0,Black,,Black,regular
PACKLESS INDUSTRIES ATTN ACCOUNTS PAYABLE,2023-08-01,33.4,60634.0,75.36666666666666,134333.0,31.0,31.0,Black,,Black,regular
PACKLESS INDUSTRIES ATTN ACCOUNTS PAYABLE,2025-04-01,32.8,42379.0,94.74999999999999,127404.0,31.0,31.0,Black,,Black,regular
ANCHOR FABRICATION-TN,2024-08-01,32.5,177913.0,62.800000000000004,361015.8333333333,31.0,31.0,Black,,Black,regular
BULLOCH FABRICATING,2024-07-01,31.400000000000002,31622.0,37.53333333333334,68165.33333333333,30.0,31.0,Black,,Black,regular
IMPERIAL GROUP MANUFACTURING I ATTN: ACCOUNTS PAYABLE,2024-08-01,31.299999999999997,176534.0,62.86666666666665,390819.8333333333,31.0,31.0,Black,,Black,regular
